fighter_name,fighter_url,height_raw,weight_raw,reach_raw,stance_raw,date_of_birth,height_in,weight_lbs,reach_in,stance
Kevin Jackson,http://ufcstats.com/fighter-details/13b2f59210dda9cc,"5' 10""",199 lbs.,--,Switch,1964-11-25,70.0,199.0,,Switch
Kevin Jordan,http://ufcstats.com/fighter-details/02e52b3a595f0786,"6' 3""",245 lbs.,--,Orthodox,1970-12-31,75.0,245.0,,Orthodox
Kevin Jousset,http://ufcstats.com/fighter-details/dda15dbfafb792df,"6' 2""",170 lbs.,"75""",Orthodox,1993-05-02,74.0,170.0,75.0,Orthodox
Kevin Lee,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7,"5' 9""",170 lbs.,"77""",Orthodox,1992-09-04,69.0,170.0,77.0,Orthodox
Kevin Natividad,http://ufcstats.com/fighter-details/0c258d1d8e16e5f1,"5' 6""",135 lbs.,"70""",Orthodox,1993-04-02,66.0,135.0,70.0,Orthodox
Kevin Randleman,http://ufcstats.com/fighter-details/6859f67468ba8489,"5' 10""",205 lbs.,--,Orthodox,1971-08-10,70.0,205.0,,Orthodox
Kevin Rosier,http://ufcstats.com/fighter-details/598a58db87b890ee,"6' 4""",275 lbs.,--,Orthodox,,76.0,275.0,,Orthodox
Kevin Vallejos,http://ufcstats.com/fighter-details/239d8e5359022f3b,"5' 7""",145 lbs.,"68""",Switch,2001-12-08,67.0,145.0,68.0,Switch
Khabib Nurmagomedov,http://ufcstats.com/fighter-details/032cc3922d871c7f,"5' 10""",155 lbs.,"70""",Orthodox,1988-09-20,70.0,155.0,70.0,Orthodox
Khadis Ibragimov,http://ufcstats.com/fighter-details/c3218c810959d279,"6' 3""",205 lbs.,"78""",Orthodox,1995-05-21,75.0,205.0,78.0,Orthodox
Khalid Murtazaliev,http://ufcstats.com/fighter-details/231cae8b77fbbcc1,"6' 0""",185 lbs.,"76""",Orthodox,1993-07-15,72.0,185.0,76.0,Orthodox
Khalid Taha,http://ufcstats.com/fighter-details/b4537562f88ac582,"5' 5""",135 lbs.,"69""",Orthodox,1992-02-15,65.0,135.0,69.0,Orthodox
Khalil Rountree Jr.,http://ufcstats.com/fighter-details/749f572d1d3161fb,"6' 1""",205 lbs.,"76""",Southpaw,1990-02-26,73.0,205.0,76.0,Southpaw
Khama Worthy,http://ufcstats.com/fighter-details/78e501478a36a018,"5' 11""",155 lbs.,"74""",Orthodox,1986-10-15,71.0,155.0,74.0,Orthodox
Khamzat Chimaev,http://ufcstats.com/fighter-details/767755fd74662dbf,"6' 2""",185 lbs.,"75""",Orthodox,1994-05-01,74.0,185.0,75.0,Orthodox
Khaos Williams,http://ufcstats.com/fighter-details/2558ae2e5671e318,"6' 0""",170 lbs.,"77""",Orthodox,1994-03-30,72.0,170.0,77.0,Orthodox
Khusein Askhabov,http://ufcstats.com/fighter-details/5c10da56d712ac9c,"5' 8""",145 lbs.,"69""",Orthodox,1995-02-13,68.0,145.0,69.0,Orthodox
Kiefer Crosbie,http://ufcstats.com/fighter-details/4729c93ba705a3bf,"5' 11""",170 lbs.,"70""",Switch,1990-04-05,71.0,170.0,70.0,Switch
Kiichi Kunimoto,http://ufcstats.com/fighter-details/71df36d6d8cf0d74,"5' 10""",170 lbs.,"71""",Orthodox,1981-05-01,70.0,170.0,71.0,Orthodox
Kimo Leopoldo,http://ufcstats.com/fighter-details/08ae5cd9aef7ddd3,"6' 3""",235 lbs.,--,Orthodox,1968-01-05,75.0,235.0,,Orthodox
King Green,http://ufcstats.com/fighter-details/887961364be5ceb3,"5' 10""",155 lbs.,"71""",Orthodox,1986-09-09,70.0,155.0,71.0,Orthodox
Kiru Sahota,http://ufcstats.com/fighter-details/296a120cb880477b,"5' 10""",125 lbs.,"73""",Orthodox,1995-05-28,70.0,125.0,73.0,Orthodox
Kit Cope,http://ufcstats.com/fighter-details/ce47f49e5c386a9c,"6' 0""",170 lbs.,--,Orthodox,1977-03-17,72.0,170.0,,Orthodox
